,ingredient,name,url
0,beef strip steaks boneless,grecian beef strip steaks & mushroom kabobs,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs
1,medium mushrooms,grecian beef strip steaks & mushroom kabobs,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs
2,medium red onion,grecian beef strip steaks & mushroom kabobs,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs
3,olive oil,grecian beef strip steaks & mushroom kabobs,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs
4,lemon wedges,grecian beef strip steaks & mushroom kabobs,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs
5,crumbled feta cheese,grecian beef strip steaks & mushroom kabobs,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs
6,salt,grecian beef strip steaks & mushroom kabobs,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs
7,large cloves garlic,grecian beef strip steaks & mushroom kabobs,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs
8,lemon pepper,grecian beef strip steaks & mushroom kabobs,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs
9,dried oregano,grecian beef strip steaks & mushroom kabobs,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs
10,beef t-bone or porterhouse steaks,grilled t-bone steaks with bbq rub,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub
11,salt,grilled t-bone steaks with bbq rub,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub
12,chili powder,grilled t-bone steaks with bbq rub,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub
13,packed brown sugar,grilled t-bone steaks with bbq rub,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub
14,ground cumin,grilled t-bone steaks with bbq rub,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub
15,minced garlic,grilled t-bone steaks with bbq rub,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub
16,cider vinegar,grilled t-bone steaks with bbq rub,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub
17,worcestershire sauce,grilled t-bone steaks with bbq rub,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub
18,ground red pepper,grilled t-bone steaks with bbq rub,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub
19,ground beef,firecracker burgers with cooling lime sauce,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce
20,sesame seed sandwich rolls,firecracker burgers with cooling lime sauce,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce
21,watercress or mixed spring greens,firecracker burgers with cooling lime sauce,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce
22,curry powder,firecracker burgers with cooling lime sauce,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce
23,caribbean jerk seasoning,firecracker burgers with cooling lime sauce,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce
24,salt,firecracker burgers with cooling lime sauce,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce
25,reduced-fat mayonnaise,firecracker burgers with cooling lime sauce,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce
26,low-fat plain yogurt,firecracker burgers with cooling lime sauce,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce
27,fresh lime juice,firecracker burgers with cooling lime sauce,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce
28,grated lime peel,firecracker burgers with cooling lime sauce,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce
29,salt,firecracker burgers with cooling lime sauce,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce
30,beef flank steak,balsamic marinated flank steak,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak
31,salt & pepper,balsamic marinated flank steak,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak
32,balsamic vinegar,balsamic marinated flank steak,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak
33,olive oil,balsamic marinated flank steak,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak
34,chopped fresh basil,balsamic marinated flank steak,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak
35,dijon-style mustard,balsamic marinated flank steak,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak
36,clove garlic,balsamic marinated flank steak,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak
37,sugar,balsamic marinated flank steak,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak
38,ground beef,burgers with grilled onions,http://www.beefitswhatsfordinner.com/recipes/recipe/1080/burgers-with-grilled-onions
39,large sweet onion,burgers with grilled onions,http://www.beefitswhatsfordinner.com/recipes/recipe/1080/burgers-with-grilled-onions
40,vegetable oil,burgers with grilled onions,http://www.beefitswhatsfordinner.com/recipes/recipe/1080/burgers-with-grilled-onions
41,salt and pepper,burgers with grilled onions,http://www.beefitswhatsfordinner.com/recipes/recipe/1080/burgers-with-grilled-onions
42,hamburger buns,burgers with grilled onions,http://www.beefitswhatsfordinner.com/recipes/recipe/1080/burgers-with-grilled-onions
43,lettuce leaves,burgers with grilled onions,http://www.beefitswhatsfordinner.com/recipes/recipe/1080/burgers-with-grilled-onions
44,tomato slices,burgers with grilled onions,http://www.beefitswhatsfordinner.com/recipes/recipe/1080/burgers-with-grilled-onions
45,ground beef,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
46,chopped fresh parsley,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
47,salt,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
48,pepper,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
49,large portobello mushrooms,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
50,slices  french bread,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
51,goat cheese,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
52,romaine lettuce leaves,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
53,chopped fresh parsley,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
54,olive oil,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
55,minced shallots,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
56,merlot or other dry red wine,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
57,ready-serve beef broth,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
58,fresh thyme,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
59,butter,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
60,all-purpose flour,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
61,salt,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
62,pepper,mushroom merlot burger,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger
63,beef back ribs,spicy beef back ribs,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs
64,vegetable oil,spicy beef back ribs,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs
65,finely chopped onion,spicy beef back ribs,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs
66,minced garlic,spicy beef back ribs,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs
67,crushed red pepper flakes,spicy beef back ribs,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs
68,chili sauce,spicy beef back ribs,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs
69,water,spicy beef back ribs,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs
70,fresh lemon juice,spicy beef back ribs,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs
71,salt,spicy beef back ribs,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs
72,beef ribeye steaks boneless,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
73,minced garlic,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
74,chopped fresh thyme,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
75,pepper,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
76,medium portobello mushrooms,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
77,olive oil,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
78,salt,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
79,chopped fresh parsley,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
80,crumbled blue cheese,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
81,butter,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
82,chopped rehydrated sun-dried tomatoes,ribeye steaks with blue cheese butter and mushrooms,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms
