,ingredient,name,url
0,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs,grecian beef strip steaks & mushroom kabobs,2 beef strip steaks boneless
1,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs,grecian beef strip steaks & mushroom kabobs,1 pound medium mushrooms
2,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs,grecian beef strip steaks & mushroom kabobs,1  medium red onion
3,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs,grecian beef strip steaks & mushroom kabobs,2 tablespoons olive oil
4,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs,grecian beef strip steaks & mushroom kabobs,6  lemon wedges
5,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs,grecian beef strip steaks & mushroom kabobs,1/4 cup crumbled feta cheese 
6,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs,grecian beef strip steaks & mushroom kabobs,salt
7,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs,grecian beef strip steaks & mushroom kabobs,3  large cloves garlic
8,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs,grecian beef strip steaks & mushroom kabobs,2-1/2 teaspoons lemon pepper
9,http://www.beefitswhatsfordinner.com/recipes/recipe/656/grecian-beef-strip-steaks-mushroom-kabobs,grecian beef strip steaks & mushroom kabobs,1-1/2 teaspoons dried oregano
10,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub,grilled t-bone steaks with bbq rub,2 to 4 beef t-bone or porterhouse steaks
11,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub,grilled t-bone steaks with bbq rub,salt
12,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub,grilled t-bone steaks with bbq rub,2 tablespoons chili powder
13,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub,grilled t-bone steaks with bbq rub,2 tablespoons packed brown sugar
14,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub,grilled t-bone steaks with bbq rub,1 tablespoon ground cumin
15,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub,grilled t-bone steaks with bbq rub,2 teaspoons minced garlic
16,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub,grilled t-bone steaks with bbq rub,2 teaspoons cider vinegar
17,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub,grilled t-bone steaks with bbq rub,1 teaspoon worcestershire sauce
18,http://www.beefitswhatsfordinner.com/recipes/recipe/741/grilled-t-bone-steaks-with-bbq-rub,grilled t-bone steaks with bbq rub,1/4 teaspoon ground red pepper
19,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce,firecracker burgers with cooling lime sauce,1-1/2 pounds ground beef
20,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce,firecracker burgers with cooling lime sauce,6 sesame seed sandwich rolls
21,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce,firecracker burgers with cooling lime sauce,1 cup watercress or mixed spring greens
22,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce,firecracker burgers with cooling lime sauce,1 tablespoon curry powder
23,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce,firecracker burgers with cooling lime sauce,1 tablespoon caribbean jerk seasoning
24,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce,firecracker burgers with cooling lime sauce,1 teaspoon salt
25,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce,firecracker burgers with cooling lime sauce,1/2 cup reduced-fat mayonnaise
26,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce,firecracker burgers with cooling lime sauce,1/4 cup low-fat plain yogurt
27,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce,firecracker burgers with cooling lime sauce,1 tablespoon fresh lime juice
28,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce,firecracker burgers with cooling lime sauce,2 teaspoons grated lime peel
29,http://www.beefitswhatsfordinner.com/recipes/recipe/975/firecracker-burgers-with-cooling-lime-sauce,firecracker burgers with cooling lime sauce,1/4 teaspoon salt
30,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak,balsamic marinated flank steak,1 beef flank steak 
31,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak,balsamic marinated flank steak,salt & pepper
32,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak,balsamic marinated flank steak,1/4 cup balsamic vinegar
33,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak,balsamic marinated flank steak,2 tablespoons olive oil
34,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak,balsamic marinated flank steak,1 tablespoon chopped fresh basil
35,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak,balsamic marinated flank steak,1 1/2 teaspoons dijon-style mustard
36,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak,balsamic marinated flank steak,1 clove garlic
37,http://www.beefitswhatsfordinner.com/recipes/recipe/1031/balsamic-marinated-flank-steak,balsamic marinated flank steak,1/2 teaspoon sugar
